system   I             system.c:245  al_install_system                [   0.00115] Allegro version: 5.1.12 (WIP)
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17943] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17947] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17951] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17954] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17958] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17962] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.17966] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.17969] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.17973] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.17985] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.17990] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18011] added dtor for object 07F67BD0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18024] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18034] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18122] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18129] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18133] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18137] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18140] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18144] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18147] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18150] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18154] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.18157] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.18161] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.18165] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.18169] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18187] added dtor for object 07F6A460, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18199] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18209] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18302] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18308] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18312] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18315] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18319] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18322] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18326] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18329] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18332] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.18336] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.18340] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.18344] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.18348] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18368] added dtor for object 07F79BE0, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18380] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18390] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18487] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18494] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18508] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18513] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18517] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18522] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18529] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18533] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18537] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.18543] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.18548] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.18552] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.18555] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18577] added dtor for object 07F72030, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18589] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18594] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18690] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18696] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18701] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18704] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18708] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18712] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18715] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18719] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.18722] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.18728] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.18731] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.18735] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.18739] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18760] added dtor for object 07F72198, func 0F6921E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18772] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18777] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19965] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19984] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20011] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20016] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20063] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20072] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20098] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20104] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20129] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20134] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20158] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20164] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20187] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20192] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20309] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20318] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20350] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20357] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20404] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20412] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20440] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20446] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.20469] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.20475] _al_d3d_sync_bitmap (video) ref count == 1
